file,events
10_soul-groove10_102_beat_4-4.mid,247
1_funk-groove1_138_beat_4-4.mid,410
2_funk-groove2_105_beat_4-4.mid,323
3_soul-groove3_86_beat_4-4.mid,457
4_soul-groove4_80_beat_4-4.mid,223
5_funk-groove5_84_beat_4-4.mid,368
6_hiphop-groove6_87_beat_4-4.mid,364
7_pop-groove7_138_beat_4-4.mid,210
8_rock-groove8_65_beat_4-4.mid,226
9_soul-groove9_105_beat_4-4.mid,207
100_neworleans-secondline_94_beat_4-4.mid,1397
101_dance-disco_120_beat_4-4.mid,1976
102_funk_95_beat_4-4.mid,2080
103_funk_95_fill_4-4.mid,17
104_funk_95_fill_4-4.mid,12
105_funk_95_fill_4-4.mid,19
106_funk_95_fill_4-4.mid,16
107_funk_95_fill_4-4.mid,17
108_funk_95_fill_4-4.mid,16
109_funk_95_fill_4-4.mid,17
10_jazz-funk_116_fill_4-4.mid,12
110_funk_95_fill_4-4.mid,17
111_funk_95_fill_4-4.mid,17
112_funk_95_fill_4-4.mid,30
113_funk_95_fill_4-4.mid,32
114_funk_95_fill_4-4.mid,23
115_funk_95_fill_4-4.mid,18
116_funk_95_fill_4-4.mid,19
117_funk_95_fill_4-4.mid,20
118_funk_95_fill_4-4.mid,15
119_funk_95_fill_4-4.mid,14
11_jazz-funk_116_fill_4-4.mid,12
120_funk_95_fill_4-4.mid,15
121_funk_95_fill_4-4.mid,14
122_funk_95_fill_4-4.mid,14
123_funk_95_fill_4-4.mid,19
124_funk_95_fill_4-4.mid,17
125_funk_95_fill_4-4.mid,13
126_funk-fast_125_beat_4-4.mid,1827
127_funk-fast_125_fill_4-4.mid,20
128_funk-fast_125_fill_4-4.mid,18
129_funk-fast_125_fill_4-4.mid,21
12_jazz-funk_116_fill_4-4.mid,23
130_funk-fast_125_fill_4-4.mid,8
131_funk-fast_125_fill_4-4.mid,9
132_funk-fast_125_fill_4-4.mid,10
133_funk-fast_125_fill_4-4.mid,12
134_funk-fast_125_fill_4-4.mid,13
135_funk-fast_125_fill_4-4.mid,18
136_funk-fast_125_fill_4-4.mid,18
137_funk-fast_125_fill_4-4.mid,13
138_funk-fast_125_fill_4-4.mid,17
139_funk-fast_125_fill_4-4.mid,14
13_jazz-funk_116_fill_4-4.mid,14
140_funk-fast_125_fill_4-4.mid,17
141_funk-fast_125_fill_4-4.mid,17
142_funk-fast_125_fill_4-4.mid,16
143_funk-fast_125_fill_4-4.mid,12
144_funk-fast_125_fill_4-4.mid,17
145_latin-brazilian-baiao_95_beat_4-4.mid,247
146_latin-brazilian-baiao_95_beat_4-4.mid,2170
147_latin-brazilian-baiao_95_fill_4-4.mid,15
148_latin-brazilian-baiao_95_fill_4-4.mid,21
149_latin-brazilian-baiao_95_fill_4-4.mid,15
14_jazz-funk_116_fill_4-4.mid,27
150_latin-brazilian-baiao_95_fill_4-4.mid,21
151_latin-brazilian-baiao_95_fill_4-4.mid,18
152_latin-brazilian-baiao_95_fill_4-4.mid,20
153_latin-brazilian-baiao_95_fill_4-4.mid,22
154_latin-brazilian-baiao_95_fill_4-4.mid,32
155_latin-brazilian-baiao_95_fill_4-4.mid,32
156_latin-brazilian-baiao_95_fill_4-4.mid,14
157_latin-brazilian-baiao_95_fill_4-4.mid,13
158_latin-brazilian-baiao_95_fill_4-4.mid,17
159_latin-brazilian-baiao_95_fill_4-4.mid,19
15_jazz-funk_116_fill_4-4.mid,19
160_latin-brazilian-baiao_95_fill_4-4.mid,17
161_latin-brazilian-baiao_95_fill_4-4.mid,14
162_latin-brazilian-baiao_95_fill_4-4.mid,13
163_latin-brazilian-baiao_95_fill_4-4.mid,26
164_latin-brazilian-baiao_95_fill_4-4.mid,14
165_latin-brazilian-baiao_95_fill_4-4.mid,14
166_latin-brazilian-baiao_95_fill_4-4.mid,26
167_latin-brazilian-baiao_95_fill_4-4.mid,15
168_latin-brazilian-baiao_95_fill_4-4.mid,17
169_latin-brazilian-baiao_95_fill_4-4.mid,20
16_jazz-funk_116_fill_4-4.mid,38
170_latin-brazilian-baiao_95_fill_4-4.mid,22
171_latin-brazilian-baiao_95_fill_4-4.mid,23
172_latin-brazilian-baiao_95_fill_4-4.mid,23
173_latin-brazilian-baiao_95_fill_4-4.mid,26
174_latin-brazilian-baiao_95_fill_4-4.mid,21
175_latin-brazilian-baiao_95_fill_4-4.mid,23
176_afrocuban_105_beat_4-4.mid,2194
177_afrocuban_105_fill_4-4.mid,15
178_afrocuban_105_fill_4-4.mid,14
179_afrocuban_105_fill_4-4.mid,7
17_jazz-funk_116_fill_4-4.mid,37
180_afrocuban_105_fill_4-4.mid,5
181_afrocuban_105_fill_4-4.mid,9
182_afrocuban_105_fill_4-4.mid,12
183_afrocuban_105_beat_4-4.mid,1727
184_reggae_78_beat_4-4.mid,598
185_reggae_78_fill_4-4.mid,8
186_reggae_78_fill_4-4.mid,10
187_reggae_78_fill_4-4.mid,13
188_reggae_78_fill_4-4.mid,13
189_reggae_78_fill_4-4.mid,10
18_jazz-funk_116_fill_4-4.mid,35
190_reggae_78_fill_4-4.mid,13
191_reggae_78_fill_4-4.mid,17
192_reggae_78_fill_4-4.mid,12
193_reggae_78_fill_4-4.mid,15
194_reggae_78_fill_4-4.mid,17
195_reggae_78_fill_4-4.mid,14
196_reggae_78_fill_4-4.mid,13
197_reggae_78_fill_4-4.mid,10
198_reggae_78_fill_4-4.mid,11
199_reggae_78_fill_4-4.mid,10
19_jazz-funk_116_fill_4-4.mid,18
1_funk_80_beat_4-4.mid,773
200_reggae_78_fill_4-4.mid,12
201_reggae-slow_64_beat_4-4.mid,701
202_rock-halftime_140_beat_4-4.mid,1334
203_rock-halftime_140_fill_4-4.mid,21
204_rock-halftime_140_fill_4-4.mid,13
205_rock-halftime_140_fill_4-4.mid,13
206_rock-halftime_140_fill_4-4.mid,22
207_rock-halftime_140_fill_4-4.mid,30
208_rock-halftime_140_fill_4-4.mid,11
209_rock-halftime_140_fill_4-4.mid,11
20_jazz-funk_116_fill_4-4.mid,16
210_rock-halftime_140_fill_4-4.mid,11
211_rock-halftime_140_fill_4-4.mid,11
212_rock-halftime_140_fill_4-4.mid,11
213_rock-halftime_140_fill_4-4.mid,12
214_rock-halftime_140_fill_4-4.mid,11
215_rock-halftime_140_fill_4-4.mid,10
216_rock-halftime_140_fill_4-4.mid,9
217_rock-halftime_140_fill_4-4.mid,9
218_rock-halftime_140_fill_4-4.mid,15
219_rock-halftime_140_fill_4-4.mid,30
21_jazz-funk_116_fill_4-4.mid,20
220_rock-halftime_140_fill_4-4.mid,11
221_rock-halftime_140_fill_4-4.mid,9
222_rock-halftime_140_fill_4-4.mid,9
223_rock-halftime_140_fill_4-4.mid,11
224_rock-halftime_140_fill_4-4.mid,8
225_rock-halftime_140_fill_4-4.mid,6
226_rock-halftime_140_fill_4-4.mid,27
227_rock-halftime_140_fill_4-4.mid,20
228_rock-halftime_140_fill_4-4.mid,13
229_rock-halftime_140_fill_4-4.mid,13
22_jazz-funk_116_fill_4-4.mid,19
230_rock-halftime_140_fill_4-4.mid,17
231_rock-halftime_140_fill_4-4.mid,34
232_rock-halftime_140_fill_4-4.mid,31
233_rock-halftime_140_fill_4-4.mid,15
234_rock-halftime_140_fill_4-4.mid,14
235_rock-halftime_140_fill_4-4.mid,16
236_rock-halftime_140_fill_4-4.mid,14
237_rock-halftime_140_fill_4-4.mid,16
238_rock-halftime_140_fill_4-4.mid,37
239_funk-purdieshuffle_130_beat_4-4.mid,1841
23_jazz-funk_116_fill_4-4.mid,19
240_funk-purdieshuffle_130_fill_4-4.mid,14
241_funk-purdieshuffle_130_fill_4-4.mid,12
242_funk-purdieshuffle_130_fill_4-4.mid,16
243_funk-purdieshuffle_130_fill_4-4.mid,18
244_funk-purdieshuffle_130_fill_4-4.mid,17
245_funk-purdieshuffle_130_fill_4-4.mid,12
246_funk-purdieshuffle_130_fill_4-4.mid,18
247_funk-purdieshuffle_130_fill_4-4.mid,23
248_funk-purdieshuffle_130_fill_4-4.mid,14
249_funk-purdieshuffle_130_fill_4-4.mid,14
24_jazz-funk_116_fill_4-4.mid,19
250_funk-purdieshuffle_130_fill_4-4.mid,14
251_funk-purdieshuffle_130_fill_4-4.mid,15
252_funk-purdieshuffle_130_fill_4-4.mid,10
253_funk-purdieshuffle_130_fill_4-4.mid,12
254_funk-purdieshuffle_130_fill_4-4.mid,10
255_funk-purdieshuffle_130_fill_4-4.mid,16
256_funk-purdieshuffle_130_fill_4-4.mid,18
257_funk-purdieshuffle_130_fill_4-4.mid,14
258_funk-purdieshuffle_130_fill_4-4.mid,21
259_funk-purdieshuffle_130_fill_4-4.mid,12
25_jazz-funk_116_fill_4-4.mid,18
260_funk-purdieshuffle_130_fill_4-4.mid,21
261_funk-purdieshuffle_130_fill_4-4.mid,14
262_funk-purdieshuffle_130_fill_4-4.mid,13
263_funk-purdieshuffle_130_fill_4-4.mid,11
264_funk-purdieshuffle_130_fill_4-4.mid,14
265_funk-purdieshuffle_130_fill_4-4.mid,17
266_funk-purdieshuffle_130_fill_4-4.mid,18
267_funk-purdieshuffle_130_fill_4-4.mid,14
268_funk-purdieshuffle_130_fill_4-4.mid,16
26_jazz-funk_116_fill_4-4.mid,13
27_jazz-funk_116_fill_4-4.mid,12
28_latin-samba_116_beat_4-4.mid,3236
29_latin-samba_116_fill_4-4.mid,8
2_funk_80_beat_4-4.mid,754
30_latin-samba_116_fill_4-4.mid,11
31_latin-samba_116_fill_4-4.mid,12
32_latin-samba_116_fill_4-4.mid,14
33_latin-samba_116_fill_4-4.mid,21
34_latin-samba_116_fill_4-4.mid,20
35_latin-samba_116_fill_4-4.mid,13
36_latin-samba_116_fill_4-4.mid,11
37_latin-samba_116_fill_4-4.mid,13
38_latin-samba_116_beat_4-4.mid,796
39_latin-samba_116_fill_4-4.mid,14
3_funk_80_beat_4-4.mid,1076
40_latin-samba_116_fill_4-4.mid,13
41_latin-samba_116_fill_4-4.mid,28
42_latin-samba_116_fill_4-4.mid,30
43_latin-samba_116_fill_4-4.mid,12
44_latin-samba_116_fill_4-4.mid,11
45_latin-samba_116_fill_4-4.mid,13
46_latin-samba_116_fill_4-4.mid,15
47_jazz_102_beat_4-4.mid,1119
48_jazz_93_beat_4-4.mid,476
49_jazz_125_beat_4-4.mid,835
4_jazz-funk_116_beat_4-4.mid,1020
50_jazz_125_beat_4-4.mid,692
51_rock-shuffle_125_beat_4-4.mid,1566
52_jazz_125_beat_4-4.mid,839
53_jazz_125_fill_4-4.mid,14
54_jazz_125_fill_4-4.mid,26
55_jazz_125_fill_4-4.mid,17
56_jazz_125_fill_4-4.mid,11
57_jazz_125_fill_4-4.mid,15
58_jazz_125_fill_4-4.mid,18
59_jazz_125_fill_4-4.mid,14
5_jazz-funk_116_beat_4-4.mid,1899
60_jazz_125_fill_4-4.mid,20
61_jazz_125_fill_4-4.mid,18
62_jazz_125_fill_4-4.mid,14
63_jazz_125_fill_4-4.mid,8
64_jazz_125_fill_4-4.mid,7
65_jazz_125_fill_4-4.mid,13
66_jazz_125_fill_4-4.mid,16
67_jazz_125_fill_4-4.mid,17
68_jazz_125_fill_4-4.mid,13
69_jazz_125_fill_4-4.mid,13
6_jazz-funk_116_fill_4-4.mid,15
70_jazz_125_fill_4-4.mid,11
71_jazz_125_fill_4-4.mid,12
72_jazz_125_fill_4-4.mid,15
73_jazz_125_fill_4-4.mid,10
74_jazz_125_fill_4-4.mid,17
75_jazz_125_beat_4-4.mid,486
76_jazz-mediumfast_180_beat_4-4.mid,75
77_jazz-mediumfast_180_beat_4-4.mid,1310
78_jazz-fast_290_beat_4-4.mid,1497
79_latin-reggaeton_90_beat_4-4.mid,562
7_jazz-funk_116_fill_4-4.mid,16
80_dance-breakbeat_170_beat_4-4.mid,1329
81_dance-breakbeat_170_beat_4-4.mid,637
82_neworleans-funk_84_beat_4-4.mid,992
83_neworleans-funk_84_fill_4-4.mid,10
84_neworleans-funk_84_fill_4-4.mid,18
85_neworleans-funk_84_fill_4-4.mid,24
86_neworleans-funk_84_fill_4-4.mid,10
87_neworleans-funk_84_fill_4-4.mid,12
88_neworleans-funk_84_fill_4-4.mid,32
89_neworleans-funk_84_fill_4-4.mid,33
8_jazz-funk_116_fill_4-4.mid,17
90_neworleans-funk_84_fill_4-4.mid,13
91_neworleans-funk_84_fill_4-4.mid,21
92_neworleans-funk_84_fill_4-4.mid,16
93_neworleans-funk_84_fill_4-4.mid,15
94_neworleans-funk_84_fill_4-4.mid,24
95_neworleans-funk_84_fill_4-4.mid,24
96_neworleans-funk_84_fill_4-4.mid,25
97_neworleans-funk_84_fill_4-4.mid,18
98_neworleans-funk_84_fill_4-4.mid,20
99_neworleans-funk_84_fill_4-4.mid,29
9_jazz-funk_116_fill_4-4.mid,15
100_funk-rock_92_fill_4-4.mid,20
101_funk-rock_92_fill_4-4.mid,18
102_funk-rock_92_fill_4-4.mid,17
103_funk-rock_92_fill_4-4.mid,15
104_funk-rock_92_fill_4-4.mid,26
105_funk-rock_92_fill_4-4.mid,25
106_funk-rock_92_fill_4-4.mid,25
107_funk-rock_92_fill_4-4.mid,19
108_funk-rock_92_fill_4-4.mid,20
109_funk-rock_92_fill_4-4.mid,14
10_country_114_beat_4-4.mid,1646
110_rock-prog_190_beat_4-4.mid,903
111_rock-prog_110_beat_5-4.mid,1447
112_afrocuban-bembe_122_beat_4-4.mid,1940
113_afrocuban-bembe_122_fill_4-4.mid,11
114_afrocuban-bembe_122_fill_4-4.mid,13
115_afrocuban-bembe_122_fill_4-4.mid,10
116_afrocuban-bembe_122_fill_4-4.mid,12
117_afrocuban-bembe_122_fill_4-4.mid,18
118_afrocuban-bembe_122_fill_4-4.mid,18
119_afrocuban-bembe_122_fill_4-4.mid,16
11_country_114_fill_4-4.mid,15
120_afrocuban-bembe_122_fill_4-4.mid,22
121_afrocuban-bembe_122_fill_4-4.mid,16
122_afrocuban-bembe_122_fill_4-4.mid,16
123_afrocuban-bembe_122_fill_4-4.mid,9
124_afrocuban-bembe_122_fill_4-4.mid,11
125_afrocuban-bembe_122_fill_4-4.mid,16
126_afrocuban-bembe_122_fill_4-4.mid,13
127_afrocuban-bembe_122_fill_4-4.mid,16
128_afrocuban-bembe_122_fill_4-4.mid,18
129_afrocuban-bembe_122_fill_4-4.mid,10
12_country_114_fill_4-4.mid,18
130_afrocuban-bembe_122_fill_4-4.mid,12
131_afrocuban-bembe_122_fill_4-4.mid,14
132_afrocuban-bembe_122_fill_4-4.mid,9
133_afrocuban-bembe_122_fill_4-4.mid,7
134_afrocuban-bembe_122_fill_4-4.mid,8
135_afrocuban-bembe_122_fill_4-4.mid,7
136_afrocuban-bembe_122_fill_4-4.mid,9
137_afrocuban-bembe_122_fill_4-4.mid,8
138_afrocuban-bembe_122_fill_4-4.mid,8
139_afrocuban-bembe_122_fill_4-4.mid,9
13_country_114_fill_4-4.mid,16
140_afrocuban-bembe_122_fill_4-4.mid,10
141_afrocuban-bembe_122_fill_4-4.mid,9
142_gospel_120_beat_4-4.mid,1641
143_gospel_120_fill_4-4.mid,17
144_gospel_120_fill_4-4.mid,14
145_gospel_120_fill_4-4.mid,4
146_gospel_120_fill_4-4.mid,3
147_gospel_120_fill_4-4.mid,10
148_gospel_120_fill_4-4.mid,11
149_gospel_120_fill_4-4.mid,9
14_country_114_fill_4-4.mid,19
150_gospel_120_fill_4-4.mid,13
151_gospel_120_fill_4-4.mid,12
152_gospel_120_fill_4-4.mid,7
153_gospel_120_fill_4-4.mid,19
154_gospel_120_fill_4-4.mid,19
155_gospel_120_fill_4-4.mid,24
156_gospel_120_fill_4-4.mid,17
157_gospel_120_fill_4-4.mid,17
158_gospel_120_fill_4-4.mid,16
159_gospel_120_fill_4-4.mid,16
15_country_114_fill_4-4.mid,17
160_gospel_120_fill_4-4.mid,19
161_afrocuban-rhumba_110_beat_4-4.mid,1729
162_afrocuban-rhumba_110_fill_4-4.mid,7
163_afrocuban-rhumba_110_fill_4-4.mid,6
164_afrocuban-rhumba_110_fill_4-4.mid,9
165_afrocuban-rhumba_110_fill_4-4.mid,9
166_afrocuban-rhumba_110_fill_4-4.mid,11
167_afrocuban-rhumba_110_fill_4-4.mid,11
168_afrocuban-rhumba_110_fill_4-4.mid,13
169_afrocuban-rhumba_110_fill_4-4.mid,14
16_country_114_fill_4-4.mid,16
170_afrocuban-rhumba_110_fill_4-4.mid,9
171_afrocuban-rhumba_110_fill_4-4.mid,10
172_afrocuban-rhumba_110_fill_4-4.mid,8
173_afrocuban-rhumba_110_fill_4-4.mid,5
174_afrocuban-rhumba_110_fill_4-4.mid,7
175_afrocuban-rhumba_110_fill_4-4.mid,8
176_afrocuban-rhumba_110_fill_4-4.mid,8
177_afrocuban-rhumba_110_fill_4-4.mid,8
178_afrocuban-rhumba_110_fill_4-4.mid,11
179_afrocuban-rhumba_110_fill_4-4.mid,10
17_country_114_fill_4-4.mid,16
180_rock_50_beat_4-4.mid,913
181_rock_115_beat_4-4.mid,1193
182_rock_115_fill_4-4.mid,15
183_rock_115_fill_4-4.mid,13
184_rock_115_fill_4-4.mid,11
185_rock_115_fill_4-4.mid,12
186_rock_115_fill_4-4.mid,5
187_rock_115_fill_4-4.mid,6
188_rock_115_fill_4-4.mid,8
189_rock_115_fill_4-4.mid,10
18_country_114_fill_4-4.mid,17
190_rock_115_fill_4-4.mid,9
191_rock_115_fill_4-4.mid,11
192_rock_115_fill_4-4.mid,17
193_rock_115_fill_4-4.mid,13
194_rock_115_fill_4-4.mid,15
195_rock_115_fill_4-4.mid,12
196_rock_115_fill_4-4.mid,10
197_rock_115_fill_4-4.mid,12
198_rock_115_fill_4-4.mid,9
19_country_114_fill_4-4.mid,19
1_latin-chacarera_157_beat_3-4.mid,1334
20_country_114_fill_4-4.mid,8
21_country_114_fill_4-4.mid,12
22_country_114_fill_4-4.mid,7
23_country_114_fill_4-4.mid,6
24_country_114_fill_4-4.mid,6
25_country_114_fill_4-4.mid,13
26_country_114_fill_4-4.mid,10
27_country_114_fill_4-4.mid,13
28_country_114_fill_4-4.mid,17
29_country_114_fill_4-4.mid,14
2_latin-chacarera_118_beat_4-4.mid,1420
30_country_114_fill_4-4.mid,15
31_country_114_fill_4-4.mid,12
32_punk_140_beat_4-4.mid,1709
33_punk_128_beat_4-4.mid,38
34_punk_128_beat_4-4.mid,75
35_punk_128_beat_4-4.mid,1162
36_punk_128_beat_4-4.mid,57
37_punk_128_beat_4-4.mid,18
38_punk_128_fill_4-4.mid,16
39_punk_128_fill_4-4.mid,17
3_latin-chacarera_118_beat_4-4.mid,952
40_punk_128_fill_4-4.mid,16
41_punk_128_fill_4-4.mid,16
42_punk_128_fill_4-4.mid,19
43_punk_128_fill_4-4.mid,16
44_punk_128_fill_4-4.mid,15
45_punk_128_fill_4-4.mid,15
46_punk_128_fill_4-4.mid,22
47_punk_128_fill_4-4.mid,20
48_punk_128_fill_4-4.mid,16
49_punk_128_fill_4-4.mid,17
4_jazz_120_beat_3-4.mid,1008
50_punk_128_fill_4-4.mid,13
51_punk_128_fill_4-4.mid,17
52_punk_128_fill_4-4.mid,15
53_punk_128_fill_4-4.mid,17
54_punk_128_fill_4-4.mid,17
55_punk_128_fill_4-4.mid,22
56_punk_128_fill_4-4.mid,21
57_punk_128_fill_4-4.mid,23
58_punk_128_fill_4-4.mid,22
59_punk_128_fill_4-4.mid,18
5_jazz_200_beat_3-4.mid,1261
60_punk_128_fill_4-4.mid,15
61_punk_128_fill_4-4.mid,14
62_punk_144_beat_4-4.mid,1312
63_punk_144_fill_4-4.mid,12
64_punk_144_fill_4-4.mid,11
65_punk_144_fill_4-4.mid,12
66_punk_144_fill_4-4.mid,11
67_punk_144_fill_4-4.mid,14
68_punk_144_fill_4-4.mid,14
69_punk_144_fill_4-4.mid,18
6_rock_102_beat_3-4.mid,2203
70_punk_144_fill_4-4.mid,14
71_punk_144_fill_4-4.mid,9
72_punk_144_fill_4-4.mid,12
73_punk_144_fill_4-4.mid,10
74_punk_144_fill_4-4.mid,13
75_punk_144_fill_4-4.mid,13
76_punk_144_fill_4-4.mid,13
77_punk_144_fill_4-4.mid,12
78_punk_144_fill_4-4.mid,12
79_punk_144_fill_4-4.mid,11
7_jazz-march_88_beat_4-4.mid,1830
80_punk_144_fill_4-4.mid,13
81_punk_144_fill_4-4.mid,14
82_punk_144_fill_4-4.mid,11
83_punk_144_fill_4-4.mid,15
84_punk_144_fill_4-4.mid,18
85_punk_144_fill_4-4.mid,20
86_punk_144_fill_4-4.mid,14
87_punk_144_fill_4-4.mid,17
88_punk_144_fill_4-4.mid,18
89_punk_144_fill_4-4.mid,15
8_jazz-march_176_beat_4-4.mid,1294
90_funk-rock_92_beat_4-4.mid,795
91_funk-rock_92_fill_4-4.mid,10
92_funk-rock_92_fill_4-4.mid,12
93_funk-rock_92_fill_4-4.mid,13
94_funk-rock_92_fill_4-4.mid,13
95_funk-rock_92_fill_4-4.mid,15
96_funk-rock_92_fill_4-4.mid,14
97_funk-rock_92_fill_4-4.mid,24
98_funk-rock_92_fill_4-4.mid,23
99_funk-rock_92_fill_4-4.mid,18
9_jazz-march_120_beat_4-4.mid,1308
10_rock-folk_90_beat_4-4.mid,2162
11_afrobeat_94_beat_4-4.mid,2504
12_latin-bomba_96_beat_4-4.mid,2045
13_rock_115_beat_4-4.mid,2821
14_rock_94_beat_4-4.mid,912
15_funk_117_beat_4-4.mid,1194
16_funk_117_beat_4-4.mid,817
17_afrocuban-calypso_108_beat_4-4.mid,2681
18_rock_128_beat_4-4.mid,1085
1_rock-prog_125_beat_4-4.mid,4260
2_jazz-swing_185_beat_4-4.mid,2402
3_rock-rockabilly_200_beat_4-4.mid,3198
4_jazz-linear_182_beat_4-4.mid,2754
5_jazz-linear_128_beat_4-4.mid,2941
6_dance-disco_120_beat_4-4.mid,2476
7_dance-disco_120_beat_4-4.mid,644
8_rock_135_beat_4-4.mid,309
9_rock_135_beat_4-4.mid,2142
10_jazz-swing_110_beat_4-4.mid,1411
1_jazz-swing_124_beat_4-4.mid,1115
2_jazz-swing_215_beat_4-4.mid,927
3_jazz-swing_215_beat_4-4.mid,418
4_jazz-swing_215_beat_4-4.mid,519
5_jazz-swing_215_beat_4-4.mid,650
6_jazz-swing_215_beat_4-4.mid,234
7_jazz-swing_215_beat_4-4.mid,130
8_jazz-swing_215_beat_4-4.mid,158
9_jazz-swing_110_beat_4-4.mid,1227
1_rock_110_beat_4-4.mid,9279
2_rock_102_beat_4-4.mid,11513
10_rock_130_beat_4-4.mid,17
11_rock_130_beat_4-4.mid,18
12_rock_130_beat_4-4.mid,17
13_rock_130_beat_4-4.mid,19
14_rock_130_beat_4-4.mid,18
15_rock_130_beat_4-4.mid,38
1_rock_130_beat_4-4.mid,1517
2_rock_130_beat_4-4.mid,119
3_rock_130_beat_4-4.mid,322
4_rock_130_beat_4-4.mid,101
5_rock_130_fill_4-4.mid,36
6_rock_130_beat_4-4.mid,102
7_rock_130_beat_4-4.mid,362
8_rock_130_beat_4-4.mid,362
9_rock_130_beat_4-4.mid,39
1_rock-shuffle_85_beat_4-4.mid,2435
10_rock_105_beat_4-4.mid,104
11_rock_120_beat_4-4.mid,161
12_rock_120_beat_4-4.mid,205
13_rock_120_beat_4-4.mid,220
14_rock_120_beat_4-4.mid,50
15_jazz_120_beat_4-4.mid,107
16_jazz_120_beat_4-4.mid,137
17_jazz_120_beat_4-4.mid,7
18_rock_120_beat_4-4.mid,585
19_jazz_120_beat_4-4.mid,65
1_rock_105_beat_4-4.mid,444
20_rock_120_beat_4-4.mid,46
21_jazz_120_beat_4-4.mid,37
22_jazz_120_beat_4-4.mid,202
23_jazz_120_beat_4-4.mid,78
24_rock_120_beat_4-4.mid,87
25_rock_120_beat_4-4.mid,14
26_rock_120_beat_4-4.mid,11
27_rock_120_beat_4-4.mid,14
28_rock_120_beat_4-4.mid,6
29_rock_120_beat_4-4.mid,14
2_rock_105_beat_4-4.mid,54
30_rock_120_beat_4-4.mid,16
31_jazz_120_beat_4-4.mid,26
32_jazz_120_beat_4-4.mid,62
33_jazz_120_beat_4-4.mid,68
34_rock_120_beat_4-4.mid,16
35_rock_120_beat_4-4.mid,330
36_rock_120_beat_4-4.mid,8
